shop,shop_url,website,category,est_annual_sales_k,years_active,ratio_per_year
CelestialCreationsSt,https://www.etsy.com/shop/CelestialCreationsSt,,,0.7,1.0,700
Marbol3DWorkshop,https://www.etsy.com/shop/Marbol3DWorkshop,,planters,5.0,3.0,1666
ShapeLabs,https://www.etsy.com/shop/ShapeLabs,,planters and organisers,7.7,4.0,1925
LineArtByCharles,https://www.etsy.com/shop/LineArtByCharles,,line art deco,0.4,0.3,1333
UpstateDesignDecor,https://www.etsy.com/shop/UpstateDesignDecor,,knitted looking toys (3dp),1.1,3.0,366
print24hr,https://www.etsy.com/shop/print24hr,,,0.2,0.1,2000
CoastlineMaker,https://www.etsy.com/shop/CoastlineMaker,,,17.5,3.0,5833
manysidestome,https://www.etsy.com/shop/manysidestome,,,3.4,9.0,377
3DijkstraFinds,https://www.etsy.com/shop/3DijkstraFinds,,deco de bookshelf,2.7,1.5,1800
TheGreyHouseshop,https://www.etsy.com/shop/TheGreyHouseshop,,deco baroque,3.7,12.0,308
RabbitTreeDesign,https://www.etsy.com/shop/RabbitTreeDesign,,,2.7,14.0,192
VampressLorekeeper,https://www.etsy.com/shop/VampressLorekeeper,,,0.2,0.2,1000
PrintAuSable3D,https://www.etsy.com/shop/PrintAuSable3D,,,2.8,4.0,700
MundiDesignLab,https://www.etsy.com/shop/MundiDesignLab,,vases,2.4,5.0,480
EAandJLABSLLC,https://www.etsy.com/shop/EAandJLABSLLC,,,0.8,0.9,888
Pashmation,https://www.etsy.com/shop/Pashmation,,vases,1.7,1.0,1700
Fuza3D,https://www.etsy.com/shop/Fuza3D,,,2.8,2.5,1120
Imperial3DFactory,https://www.etsy.com/shop/Imperial3DFactory,,toys,6.9,2.0,3450
StardeskCo,https://www.etsy.com/shop/StardeskCo,,rockets,0.8,3.0,266
TheLayerLab,https://www.etsy.com/shop/TheLayerLab,,sf deco,2.2,3.0,733
PrintGeekStudio,https://www.etsy.com/shop/PrintGeekStudio,,gaming props,5.8,3.0,1933
CoolGamingStuffGB,https://www.etsy.com/shop/CoolGamingStuffGB,,,1.9,1.5,1266
AFKPrintsAU,https://www.etsy.com/shop/AFKPrintsAU,,sf deco,0.5,1.5,333
PrettyGooseForYou,https://www.etsy.com/shop/PrettyGooseForYou,,,1.0,3.0,333
Rabbitforged,https://www.etsy.com/shop/Rabbitforged,,game props,2.2,2.0,1100
HldMyBeerEngineering,https://www.etsy.com/shop/HldMyBeerEngineering,,game and old props,16.9,7.0,2414
RobbiesPrintsDesign,https://www.etsy.com/shop/RobbiesPrintsDesign,,,0.3,0.9,333
GadgetPrintsCo,https://www.etsy.com/shop/GadgetPrintsCo,,game props,1.8,4.0,450
UKJstudio,https://www.etsy.com/shop/UKJstudio,,,0.2,0.5,400
DesignWorkLLC,https://www.etsy.com/shop/DesignWorkLLC,,,3.0,8.0,375
BereaCraft,https://www.etsy.com/shop/BereaCraft,,signs and poke balls,1.2,2.5,480
HarborSouthDesigns,https://www.etsy.com/shop/HarborSouthDesigns,,pokeballs,0.7,1.0,700
5thStreetMakes,https://www.etsy.com/shop/5thStreetMakes,,christmas deco poke?,1.5,4.0,375
GB3dDesigns,https://www.etsy.com/shop/GB3dDesigns,,,0.9,3.0,300
ADHDartisans,https://www.etsy.com/shop/ADHDartisans,,pokeballs and dnd,1.8,2.5,720
Sander3DPrint,https://www.etsy.com/shop/Sander3DPrint,,pokeballs,0.07,7.0,10
EGx3D,https://www.etsy.com/shop/EGx3D,,mario,0.6,0.4,1500
PrintWithPetunia,https://www.etsy.com/shop/PrintWithPetunia,,pokeballs,0.5,3.0,166
HurstProductLab,https://www.etsy.com/shop/HurstProductLab,,,0.4,1.0,400
PencilShortDesign,https://www.etsy.com/shop/PencilShortDesign,,,0.7,1.5,466
ProperCrafts,https://www.etsy.com/shop/ProperCrafts,,classic busts and statues,8.7,6.0,1450
3DPrintPlaceDE,https://www.etsy.com/shop/3DPrintPlaceDE,,,1.4,3.0,466
DigitalStudioEXP,https://www.etsy.com/shop/DigitalStudioEXP,,,0.08,0.6,133
3DPrimeStudios,https://www.etsy.com/shop/3DPrimeStudios,,sculptures,0.5,1.0,500
GirdledGoodsShop,https://www.etsy.com/shop/GirdledGoodsShop,,,0.3,3.0,100
ChiclyBuilt,https://www.etsy.com/shop/ChiclyBuilt,,home general,40.8,5.0,8160
TrinityDesignLabs,https://www.etsy.com/shop/TrinityDesignLabs,,,0.4,0.9,444
DelightfullyDutch,https://www.etsy.com/shop/DelightfullyDutch,,small deco,12.3,11.0,1118
PrintlyChic,https://www.etsy.com/shop/PrintlyChic,,bookshelf related,0.6,1.0,600
3Ddruckstodel,https://www.etsy.com/shop/3Ddruckstodel,,bookshelf related,0.8,2.0,400
3DGeschenkeJM,https://www.etsy.com/shop/3DGeschenkeJM,,,0.2,0.4,500
StormyCreaTeam,https://www.etsy.com/shop/StormyCreaTeam,,,0.5,2.0,250
Worldthreedi,https://www.etsy.com/shop/Worldthreedi,,,0.4,9.0,44
FableForge3D,https://www.etsy.com/shop/FableForge3D,,,0.2,1.0,200
CoalRegionPrints,https://www.etsy.com/shop/CoalRegionPrints,,,3.9,2.0,1950
Houseofcozycreations,https://www.etsy.com/shop/Houseofcozycreations,,cozy planters,6.1,1.5,4066
LayerWise,https://www.etsy.com/shop/LayerWise,,,0.5,0.9,555
LeafyPlarent,https://www.etsy.com/shop/LeafyPlarent,,planters,9.0,2.5,3600
KC3DPrintsUK,https://www.etsy.com/shop/KC3DPrintsUK,,,0.9,2.0,450
Astonix,https://www.etsy.com/shop/Astonix,,headphone holders,0.4,1.5,266
EceTheQueen,https://www.etsy.com/shop/EceTheQueen,,,1.6,1.0,1600
PrintWithAust,https://www.etsy.com/shop/PrintWithAust,,clickers and random,1.3,2.5,520
Rustingo,https://www.etsy.com/shop/Rustingo,,,2.0,1.5,1333
SayItLoudSIL,https://www.etsy.com/shop/SayItLoudSIL,,,3.4,4.0,850
WeLove3D,https://www.etsy.com/shop/WeLove3D,,,44.0,6.0,7333
Carzdeluxe,https://www.etsy.com/shop/Carzdeluxe,,car related,4.0,4.0,1000
RevolutionEngLLC,https://www.etsy.com/shop/RevolutionEngLLC,,car related,2.9,3.0,966
3DPrintsParts,https://www.etsy.com/shop/3DPrintsParts,,car,0.7,2.0,350
BSULDesign,https://www.etsy.com/shop/BSULDesign,,car,0.9,1.5,600
3DTacticalDesigns,https://www.etsy.com/shop/3DTacticalDesigns,,,6.4,10.0,640
MontanaAngleWorx,https://www.etsy.com/shop/MontanaAngleWorx,,,0.9,11.0,81
Mrs3DPrint,https://www.etsy.com/shop/Mrs3DPrint,,,0.3,0.8,375
3dtailwaggers,https://www.etsy.com/shop/3dtailwaggers,,,0.3,0.9,333
Print4Fun3D,https://www.etsy.com/shop/Print4Fun3D,,,0.6,0.4,1500
RickedCustoms,https://www.etsy.com/shop/RickedCustoms,,,1.1,1.0,1100
MakeMoreFish,https://www.etsy.com/shop/MakeMoreFish,,aquarium,1.4,1.5,933
NetworkBuck,https://www.etsy.com/shop/NetworkBuck,,computer parts,1.3,1.5,866
ZephyrsMarket,https://www.etsy.com/shop/ZephyrsMarket,,,9.3,4.0,2325
Print3DSteve,https://www.etsy.com/shop/Print3DSteve,,computer parts,14.7,5.0,2940
PrintShapeSweden,https://www.etsy.com/shop/PrintShapeSweden,,computer and mounts,1.1,0.9,1222
CalculatedMFG,https://www.etsy.com/shop/CalculatedMFG,,,0.8,3.0,266
WallBracketNerd,https://www.etsy.com/shop/WallBracketNerd,,computer mounts,0.3,2.0,150
3DHotShop,https://www.etsy.com/shop/3DHotShop,,toys,8.0,4.0,2000
GGArthouseStudio,https://www.etsy.com/shop/GGArthouseStudio,,lamps and art,1.1,2.5,440
wonderland3dprinting,https://www.etsy.com/shop/wonderland3dprinting,,toys,7.2,1.5,4800
AnimalsAttitude,https://www.etsy.com/shop/AnimalsAttitude,,toy statues,1.8,1.5,1200
DuckSpecialist,https://www.etsy.com/shop/DuckSpecialist,,ducks,0.2,0.8,250
NiceNecessity,https://www.etsy.com/shop/NiceNecessity,,kitchen,1.0,2.0,500
DroidWorksStudios,https://www.etsy.com/shop/DroidWorksStudios,,,0.2,0.9,222
VerticalMiraclesCo,https://www.etsy.com/shop/VerticalMiraclesCo,,coffee,0.3,2.5,120
Paralyse3D,https://www.etsy.com/shop/Paralyse3D,,functional,6.4,4.0,1600
FusedVisions,https://www.etsy.com/shop/FusedVisions,,coffee and kitchen,1.8,0.9,2000
MaxsquareStore,https://www.etsy.com/shop/MaxsquareStore,,kitchen,1.3,4.0,325
CremaLoop,https://www.etsy.com/shop/CremaLoop,cremaloop.com/pages/about-us,coffee,10.1,3.0,3366
BaristaGadgets,https://www.etsy.com/shop/BaristaGadgets,,coffee and non 3dp parts,6.1,3.0,2033
K2KustomsLLC,https://www.etsy.com/shop/K2KustomsLLC,,,1.9,1.5,1266
PoppedPrinting,https://www.etsy.com/shop/PoppedPrinting,,,2.8,4.0,700
MarkvickaDesigns,https://www.etsy.com/shop/MarkvickaDesigns,,paint holders,1.9,2.5,760
MarksMandalas,https://www.etsy.com/shop/MarksMandalas,,paint holders,1.2,8.0,150
WormPopLabs,https://www.etsy.com/shop/WormPopLabs,,kitchen and house,3.4,3.0,1133
DecorKrueger,https://www.etsy.com/shop/DecorKrueger,,,2.9,3.0,966
OffDaBench,https://www.etsy.com/shop/OffDaBench,,,0.7,7.0,100
3DSchmelzwerk,https://www.etsy.com/shop/3DSchmelzwerk,,,0.4,4.0,100
ShellypartsShop,https://www.etsy.com/shop/ShellypartsShop,,,0.3,2.5,120
UtilityCreations,https://www.etsy.com/shop/UtilityCreations,,skadis and drawers,0.4,2.0,200
DecordsStore,https://www.etsy.com/shop/DecordsStore,,interior design,14.2,11.0,1290
DoodlesEmpire,https://www.etsy.com/shop/DoodlesEmpire,,shelves and deco,2.2,2.5,880
WyvernCAD,https://www.etsy.com/shop/WyvernCAD,,deco,0.6,1.5,400
DZNFORPPL,https://www.etsy.com/shop/DZNFORPPL,,,0.6,1.5,400
TheInsideJungle,https://www.etsy.com/shop/TheInsideJungle,,plant related,0.7,1.5,466
ideabaydesignstyle,https://www.etsy.com/shop/ideabaydesignstyle,,mushrooms,0.9,1.0,900
Williams3DShop,https://www.etsy.com/shop/Williams3DShop,,planters and organisers,0.6,1.0,600
MonarchDesignGB,https://www.etsy.com/shop/MonarchDesignGB,,,0.5,0.3,1667
PrintsCharmingThreeD,https://www.etsy.com/shop/PrintsCharmingThreeD,,,1.5,2.0,750
NextGenModeling,https://www.etsy.com/shop/NextGenModeling,,,5.2,2.0,2600
FablesandFilament,https://www.etsy.com/shop/FablesandFilament,,,2.3,1.0,2300
ClemmyCreations,https://www.etsy.com/shop/ClemmyCreations,,cute and holders,17.1,3.0,5700
LittleDorkyDesigns,https://www.etsy.com/shop/LittleDorkyDesigns,,,13.8,7.0,1971
infinityprintworks3d,https://www.etsy.com/shop/infinityprintworks3d,,,0.8,1.5,533
Drimzy3D,https://www.etsy.com/shop/Drimzy3D,,,0.5,0.9,556
LayeredEleganceNL,https://www.etsy.com/shop/LayeredEleganceNL,,,0.45,0.9,500
backroadslab,https://www.etsy.com/shop/backroadslab,etsy.com/shop/backroadslab/?etsrc=sdt&utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=pazxh0bgnhzw0cmteac3j0ywzhchbfawqmmju2mjgxmdqwntu4aagnqu8i06fagtremeuqx1ukticpg-7sxgq8ab09bpsiv3igzadn_xecfi1ch8s_aem_x_tdjd3ezyf78btu0xdxmw,some bike parts,,,
croak3dcraft,https://www.etsy.com/shop/croak3dcraft,instagram.com/croak3dcraft,,,,
FlexiFactoryStore,https://www.etsy.com/shop/FlexiFactoryStore,,https://www.etsy.com/shop/FlexiFactoryStore,,,
3dprintexplorer,https://www.etsy.com/shop/3dprintexplorer,,"product seller, https://www.etsy.com/shop/3dprintexplorer",,,
WoowConcept3D,https://www.etsy.com/shop/WoowConcept3D,,stl seller on etsy,,,
