shop,shop_url,website,category,est_annual_sales_k,years_active,ratio_per_year
ThreeDePrinting,https://www.etsy.com/shop/ThreeDePrinting,,"nintendo, switch, game holders, organizers",1.6,3.0,533
TrophyBit,https://www.etsy.com/shop/TrophyBit,,"nintendo, switch, game holders, organizers",7.1,9.0,789
3Dreativity,https://www.etsy.com/shop/3Dreativity,,"nintendo, switch, game holders, organizers",1.7,1.5,1133
zombyte,https://www.etsy.com/shop/zombyte,,"nintendo, switch, game holders, organizers",4.6,7.0,657
PauseButtonPrintShop,https://www.etsy.com/shop/PauseButtonPrintShop,,controller stands,4.3,5.0,860
3DBitsNBobsCo,https://www.etsy.com/shop/3DBitsNBobsCo,,"nintendo, switch, game holders, organizers",0.9,2.0,450
Zoltan3Design,https://www.etsy.com/shop/Zoltan3Design,,"nintendo, switch, game holders, organizers",2.0,3.0,667
LostTravelerLee3D,https://www.etsy.com/shop/LostTravelerLee3D,,"nintendo, switch, game holders, organizers",9.1,4.0,2275
Maverick3D,https://www.etsy.com/shop/Maverick3D,,key holders,2.2,4.0,550
QuantumQuill3D,https://www.etsy.com/shop/QuantumQuill3D,,"nintendo, switch, game holders, organizers",1.6,1.0,1600
LA3DPrintShop,https://www.etsy.com/shop/LA3DPrintShop,,"nintendo, switch, game holders, organizers",1.8,3.0,600
3DPrintedKeycap,https://www.etsy.com/shop/3DPrintedKeycap,,"various, stls too",7.2,2.5,2880
PersonalLoot,https://www.etsy.com/shop/PersonalLoot,,holders,2.1,4.0,525
3DPrintHaus,https://www.etsy.com/shop/3DPrintHaus,,"nintendo, switch, game holders, organizers",1.1,4.0,275
Krasivoe,https://www.etsy.com/shop/Krasivoe,,"nintendo, switch, game holders, organizers",0.7,1.0,700
KYPEX,https://www.etsy.com/shop/KYPEX,,"nintendo, switch, game holders, organizers",1.2,4.0,300
Webspiner3D,https://www.etsy.com/shop/Webspiner3D,,grips and holders,1.8,2.0,900
3DHudarus,https://www.etsy.com/shop/3DHudarus,,planters,6.4,2.5,2560
TubieTools,https://www.etsy.com/shop/TubieTools,,vial holders,2.1,8.0,262
BadKittyCeramics,https://www.etsy.com/shop/BadKittyCeramics,,ceramic tools,1.6,6.0,266
DesireNorth,https://www.etsy.com/shop/DesireNorth,,deco,1.2,4.0,300
Migz3DPrints,https://www.etsy.com/shop/Migz3DPrints,,clickers,1.0,3.0,333
Durham3DPrints,https://www.etsy.com/shop/Durham3DPrints,,,1.0,3.0,333
NovoLabz,https://www.etsy.com/shop/NovoLabz,,,2.4,7.0,342
HiddenOutpostDesigns,https://www.etsy.com/shop/HiddenOutpostDesigns,,star wars related,1.4,4.0,350
804FAB,https://www.etsy.com/shop/804FAB,,skadis,0.7,2.0,350
EightSixtyConcepts,https://www.etsy.com/shop/EightSixtyConcepts,,car,1.4,4.0,350
VialGuard,https://www.etsy.com/shop/VialGuard,,vial holders,1.8,5.0,360
LewisAndBuckCo,https://www.etsy.com/shop/LewisAndBuckCo,,,1.5,4.0,375
Jonhofuncreates,https://www.etsy.com/shop/Jonhofuncreates,,ikea,2.3,6.0,383
3DTECHNO,https://www.etsy.com/shop/3DTECHNO,,supports,1.2,3.0,400
GroovyGiftCo,https://www.etsy.com/shop/GroovyGiftCo,,,1.2,3.0,400
MaverlyDesigns,https://www.etsy.com/shop/MaverlyDesigns,,clay cutters,1.6,4.0,400
MaelstromAquatics,https://www.etsy.com/shop/MaelstromAquatics,,holders,1.6,4.0,400
Crafty3DPrintsStore,https://www.etsy.com/shop/Crafty3DPrintsStore,,,1.1,2.5,440
PENCILSTASH,https://www.etsy.com/shop/PENCILSTASH,,skadis,1.8,4.0,450
Creations3DArantxita,https://www.etsy.com/shop/Creations3DArantxita,,,1.8,4.0,450
HopShop3DProps,https://www.etsy.com/shop/HopShop3DProps,hopshop3dprops.com,props,3.2,7.0,457
Jettisonable,https://www.etsy.com/shop/Jettisonable,,props for starwars,2.5,5.0,500
3DPRINTSELLER,https://www.etsy.com/shop/3DPRINTSELLER,,car related,1.5,3.0,500
NewJerseyAquatics,https://www.etsy.com/shop/NewJerseyAquatics,,fishtank related,1.3,2.5,520
NewGroundDesigns,https://www.etsy.com/shop/NewGroundDesigns,,holders and organisers,1.6,3.0,533
Allen3DPrintingHouse,https://www.etsy.com/shop/Allen3DPrintingHouse,,,3.3,6.0,550
LoonarCreative,https://www.etsy.com/shop/LoonarCreative,,for geeks,2.2,4.0,550
DoublePlusThink,https://www.etsy.com/shop/DoublePlusThink,,,1.4,2.5,560
LifeHackProducts,https://www.etsy.com/shop/LifeHackProducts,,ikea and bookshelves,1.7,3.0,566
3DPrintersaur,https://www.etsy.com/shop/3DPrintersaur,,fidgets,1.5,2.5,600
XOHODesign,https://www.etsy.com/shop/XOHODesign,,ikea and small holders,1.2,2.0,600
3DDesignSupply,https://www.etsy.com/shop/3DDesignSupply,,various wall heads,1.5,2.5,600
AuraPrintDE,https://www.etsy.com/shop/AuraPrintDE,,,0.9,1.5,600
Filamentality3D,https://www.etsy.com/shop/Filamentality3D,,,1.9,3.0,633
EnigmaticProps,https://www.etsy.com/shop/EnigmaticProps,,,1.6,2.5,640
DSDesignLV,https://www.etsy.com/shop/DSDesignLV,,acoustic panel supports and design stuff,3.3,5.0,660
ScaleMax,https://www.etsy.com/shop/ScaleMax,,skadis,0.6,0.9,666
FALichtundHolzdesign,https://www.etsy.com/shop/FALichtundHolzdesign,,hooks,0.6,0.9,666
OptimumSolutions,https://www.etsy.com/shop/OptimumSolutions,,car,2.0,3.0,666
LilCreativeFamily,https://www.etsy.com/shop/LilCreativeFamily,,,1.7,2.5,680
Parkers3DPrintsShop,https://www.etsy.com/shop/Parkers3DPrintsShop,,,3.4,5.0,680
WheelerCC,https://www.etsy.com/shop/WheelerCC,,,3.5,5.0,700
lgonrd,https://www.etsy.com/shop/lgonrd,,wall supports for mini figs,2.1,3.0,700
Priscillaprintpalace,https://www.etsy.com/shop/Priscillaprintpalace,,vial cases,0.5,0.7,714
LaunchpadDesign,https://www.etsy.com/shop/LaunchpadDesign,,fidgets with magnets,2.9,4.0,725
TLPrintEngraving,https://www.etsy.com/shop/TLPrintEngraving,,,1.1,1.5,733
ClassifiedDesign,https://www.etsy.com/shop/ClassifiedDesign,,one wheel stands,3.7,5.0,740
Bulldog3DStudio,https://www.etsy.com/shop/Bulldog3DStudio,,vial and holders,0.3,0.4,750
Carat3dCreations,https://www.etsy.com/shop/Carat3dCreations,,cosplay props,1.5,2.0,750
Breslauu3D,https://www.etsy.com/shop/Breslauu3D,,ikea and random holders,2.3,3.0,766
DeadOnWorkshop,https://www.etsy.com/shop/DeadOnWorkshop,,tool holders,3.1,4.0,775
ColdEarthIndustries,https://www.etsy.com/shop/ColdEarthIndustries,,laptop stands,4.7,6.0,783
Haole3DDesigns,https://www.etsy.com/shop/Haole3DDesigns,,keychains and tags n such,1.2,1.5,800
ClearChoiceAquatics,https://www.etsy.com/shop/ClearChoiceAquatics,,mostly aquarium related,3.2,4.0,800
CustomAutopartsLLC,https://www.etsy.com/shop/CustomAutopartsLLC,,car,1.3,1.5,866
WAV3DCreations,https://www.etsy.com/shop/WAV3DCreations,,,2.8,3.0,933
Garage3DPrint,https://www.etsy.com/shop/Garage3DPrint,,drawer inserts,2.8,3.0,933
3DPSolver,https://www.etsy.com/shop/3DPSolver,,skadis,1.4,1.5,933
DRCPrints,https://www.etsy.com/shop/DRCPrints,,,2.8,3.0,933
VarietyBySKL,https://www.etsy.com/shop/VarietyBySKL,,wall plates and spacers,4.7,5.0,940
TilloLabsStore,https://www.etsy.com/shop/TilloLabsStore,,desk stuff,1.9,2.0,950
TheWhitePawPrints,https://www.etsy.com/shop/TheWhitePawPrints,,,3.8,4.0,950
CraftyHubDE,https://www.etsy.com/shop/CraftyHubDE,,,1.9,2.0,950
PrintMyTools,https://www.etsy.com/shop/PrintMyTools,,,2.4,2.5,960
DetailArtFactory,https://www.etsy.com/shop/DetailArtFactory,,skadis for painting and tabletop,2.9,3.0,966
PrintItThreeDee,https://www.etsy.com/shop/PrintItThreeDee,,,4.0,4.0,1000
smartshapes3Dstudio,https://www.etsy.com/shop/smartshapes3Dstudio,,skadis,1.5,1.5,1000
PlasTechSolutions,https://www.etsy.com/shop/PlasTechSolutions,,,2.0,2.0,1000
JDand3Designs,https://www.etsy.com/shop/JDand3Designs,,mounts,2.5,2.5,1000
TinInsertCo,https://www.etsy.com/shop/TinInsertCo,,pill holders,1.0,1.0,1000
NoOrdinaryLeaf,https://www.etsy.com/shop/NoOrdinaryLeaf,,,1.5,1.5,1000
ModItDesign,https://www.etsy.com/shop/ModItDesign,,bike and skadis,3.2,3.0,1066
FlexiFidgetsCo,https://www.etsy.com/shop/FlexiFidgetsCo,,flexi and fidgets,1.1,1.0,1100
CeksaFabrication,https://www.etsy.com/shop/CeksaFabrication,,altoid inserts?!,2.2,2.0,1100
Kladis3DStudio,https://www.etsy.com/shop/Kladis3DStudio,,fidget,2.8,2.5,1120
lalacutters,https://www.etsy.com/shop/lalacutters,,clay cutters,2.8,2.5,1120
Page3dTools,https://www.etsy.com/shop/Page3dTools,,tool holders,0.9,0.8,1125
JungleSpaceship,https://www.etsy.com/shop/JungleSpaceship,,plant looking handles,4.5,4.0,1125
Valor3D,https://www.etsy.com/shop/Valor3D,,car,3.4,3.0,1133
ConfettiPrinting,https://www.etsy.com/shop/ConfettiPrinting,,cute toys,2.4,2.0,1200
CryptidsAndClover,https://www.etsy.com/shop/CryptidsAndClover,,,1.2,1.0,1200
TheCutterfly,https://www.etsy.com/shop/TheCutterfly,,cutters,3.0,2.5,1200
Alice3DTreasures,https://www.etsy.com/shop/Alice3DTreasures,,toys and deco,2.4,2.0,1200
FluffyHelpersStore,https://www.etsy.com/shop/FluffyHelpersStore,,various stands,1.8,1.5,1200
MaricreaSwiss,https://www.etsy.com/shop/MaricreaSwiss,,small hangers,1.2,1.0,1200
HighByDesign,https://www.etsy.com/shop/HighByDesign,,themed organisers,4.9,4.0,1225
HappyTappyShop,https://www.etsy.com/shop/HappyTappyShop,,halloween!,0.5,0.4,1250
TheSpiritDesignCo,https://www.etsy.com/shop/TheSpiritDesignCo,,deco,1.9,1.5,1266
MikesThingamajigs,https://www.etsy.com/shop/MikesThingamajigs,,skadis and ikea stuff,3.2,2.5,1280
EasyClayTools,https://www.etsy.com/shop/EasyClayTools,,tools for ceramics,2.6,2.0,1300
MadSunshineCreations,https://www.etsy.com/shop/MadSunshineCreations,,controller stands,9.3,7.0,1328
NautolithCrafts,https://www.etsy.com/shop/NautolithCrafts,,custom name shit,4.0,3.0,1333
USACUTTIE,https://www.etsy.com/shop/USACUTTIE,,pill holders,0.4,0.3,1333
PhantomFidgets,https://www.etsy.com/shop/PhantomFidgets,,fidgets and magnets,2.1,1.5,1400
Integrity3Designs,https://www.etsy.com/shop/Integrity3Designs,,skadis and sewing,4.3,3.0,1433
GeekyThingsUK,https://www.etsy.com/shop/GeekyThingsUK,,,4.3,3.0,1433
InGearDesign,https://www.etsy.com/shop/InGearDesign,,car,2.9,2.0,1450
ALTO3DSHOP,https://www.etsy.com/shop/ALTO3DSHOP,,adaptors,4.4,3.0,1466
3DPrintingWizardry,https://www.etsy.com/shop/3DPrintingWizardry,,various props and head mounts,4.4,3.0,1466
CreativePlasticsShop,https://www.etsy.com/shop/CreativePlasticsShop,,minecraft themed light switches,7.4,5.0,1480
TwistedDesignUSA,https://www.etsy.com/shop/TwistedDesignUSA,,deco,1.5,1.0,1500
CosmicForce3DPrints,https://www.etsy.com/shop/CosmicForce3DPrints,,toy and related,2.3,1.5,1533
WildAssPrints,https://www.etsy.com/shop/WildAssPrints,,random,1.4,0.9,1555
EGOMounts,https://www.etsy.com/shop/EGOMounts,,mounts,0.8,0.5,1600
Makearoni,https://www.etsy.com/shop/Makearoni,,toy and hotwheels,1.5,0.9,1666
TheOwlchemyNest,https://www.etsy.com/shop/TheOwlchemyNest,,,3.4,2.0,1700
GalaxyGames3dPrints,https://www.etsy.com/shop/GalaxyGames3dPrints,,toy and nerd dnd,4.4,2.5,1760
Boom3DDesigns,https://www.etsy.com/shop/Boom3DDesigns,,skadis,1.8,1.0,1800
TinkerMakerAU,https://www.etsy.com/shop/TinkerMakerAU,,stands and bookcase stuff,11.0,6.0,1833
KoolTools,https://www.etsy.com/shop/KoolTools,,tools for ceramics,14.8,8.0,1850
BlueSkyShopUA,https://www.etsy.com/shop/BlueSkyShopUA,,cookie cutters and clay molders,2.8,1.5,1866
TealCatCreative,https://www.etsy.com/shop/TealCatCreative,,for kids,30.2,16.0,1887
RazomUK,https://www.etsy.com/shop/RazomUK,,,1.9,1.0,1900
MaltipooMania,https://www.etsy.com/shop/MaltipooMania,,toy deco,1.9,1.0,1900
Intrinsic3D,https://www.etsy.com/shop/Intrinsic3D,,fidgets and magnets,7.6,4.0,1900
StageTop,https://www.etsy.com/shop/StageTop,,,4.8,2.5,1920
st3ndstore,https://www.etsy.com/shop/st3ndstore,,various stands,5.9,3.0,1966
TECTLE,https://www.etsy.com/shop/TECTLE,,planters,10.4,5.0,2080
PottrUK,https://www.etsy.com/shop/PottrUK,,tools for ceramics,3.2,1.5,2133
JohnFranklinArt,https://www.etsy.com/shop/JohnFranklinArt,,mounts and tools,15.7,7.0,2242
PoconoPrinting,https://www.etsy.com/shop/PoconoPrinting,,deco,6.8,3.0,2266
