shop,shop_url,website,category
Krasivoe,https://www.etsy.com/shop/Krasivoe,,"nintendo, switch, game holders, organizers"
KYPEX,https://www.etsy.com/shop/KYPEX,,"nintendo, switch, game holders, organizers"
Webspiner3D,https://www.etsy.com/shop/Webspiner3D,,grips and holders
3DHudarus,https://www.etsy.com/shop/3DHudarus,,planters
TubieTools,https://www.etsy.com/shop/TubieTools,,vial holders
BadKittyCeramics,https://www.etsy.com/shop/BadKittyCeramics,,ceramic tools
DesireNorth,https://www.etsy.com/shop/DesireNorth,,deco
Migz3DPrints,https://www.etsy.com/shop/Migz3DPrints,,clickers
Durham3DPrints,https://www.etsy.com/shop/Durham3DPrints,,
NovoLabz,https://www.etsy.com/shop/NovoLabz,,
HiddenOutpostDesigns,https://www.etsy.com/shop/HiddenOutpostDesigns,,star wars related
804FAB,https://www.etsy.com/shop/804FAB,,skadis
EightSixtyConcepts,https://www.etsy.com/shop/EightSixtyConcepts,,car
VialGuard,https://www.etsy.com/shop/VialGuard,,vial holders
LewisAndBuckCo,https://www.etsy.com/shop/LewisAndBuckCo,,
Jonhofuncreates,https://www.etsy.com/shop/Jonhofuncreates,,ikea
3DTECHNO,https://www.etsy.com/shop/3DTECHNO,,supports
GroovyGiftCo,https://www.etsy.com/shop/GroovyGiftCo,,
MaverlyDesigns,https://www.etsy.com/shop/MaverlyDesigns,,clay cutters
MaelstromAquatics,https://www.etsy.com/shop/MaelstromAquatics,,holders
Crafty3DPrintsStore,https://www.etsy.com/shop/Crafty3DPrintsStore,,
PENCILSTASH,https://www.etsy.com/shop/PENCILSTASH,,skadis
Creations3DArantxita,https://www.etsy.com/shop/Creations3DArantxita,,
HopShop3DProps,https://www.etsy.com/shop/HopShop3DProps,hopshop3dprops.com,props
Jettisonable,https://www.etsy.com/shop/Jettisonable,,props for starwars
3DPRINTSELLER,https://www.etsy.com/shop/3DPRINTSELLER,,car related
NewJerseyAquatics,https://www.etsy.com/shop/NewJerseyAquatics,,fishtank related
